Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ERNIE-Speed-8K,1,0,2185.022374993423,2185.022374993423,2185.022374993423,2185.022374993423,0.0,0.441104000977636,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,1,0,2185.022374993423,2185.022374993423,2185.022374993423,2185.022374993423,0.0,0.441104000977636,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
