Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ERNIE-Speed-8K,4,0,5400.0,5408.980562500801,3745.563749995199,6368.178125005215,0.0,0.616319415170843,0.0,6100,6100,6400,6400,6400,6400,6400,6400,6400,6400,6400
,Aggregated,4,0,5400.0,5408.980562500801,3745.563749995199,6368.178125005215,0.0,0.616319415170843,0.0,6100,6100,6400,6400,6400,6400,6400,6400,6400,6400,6400
