Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ERNIE-Speed-8K,4,0,0.873385,0.81724475,0.776867,0.873385,0.0,0.7972396295556405,0.0,1,1,1,1,1,1,1,1,1,1,1
,Aggregated,4,0,0.873385,0.81724475,0.776867,0.873385,0.0,0.7972396295556405,0.0,1,1,1,1,1,1,1,1,1,1,1
