Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ERNIE-Speed-8K,4,0,5,6.0,5,7,0.0,0.5558580444896066,0.0,7,7,7,7,7,7,7,7,7,7,7
,Aggregated,4,0,5,6.0,5,7,0.0,0.5558580444896066,0.0,7,7,7,7,7,7,7,7,7,7,7
