Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,tvsz9usd_test1,1,0,45,45.0,45,45,0.0,0.4635456194080021,0.0,45,45,45,45,45,45,45,45,45,45,45
,Aggregated,1,0,45,45.0,45,45,0.0,0.4635456194080021,0.0,45,45,45,45,45,45,45,45,45,45,45
